filename,text
/content/cropped/Train/img1001_0.png,the
/content/cropped/Train/img1001_1.png,alpaca
/content/cropped/Train/img1001_2.png,shop
/content/cropped/Train/img1001_3.png,OPEN
/content/cropped/Train/img1001_4.png,Alpaca
/content/cropped/Train/img1001_5.png,clothing
/content/cropped/Train/img1001_6.png,including
/content/cropped/Train/img1001_8.png,hats
/content/cropped/Train/img1002_0.png,CONSTRUCTIONS
/content/cropped/Train/img1002_1.png,PhFax
/content/cropped/Train/img1002_6.png,PTY
/content/cropped/Train/img1002_7.png,SCHOLZ
/content/cropped/Train/img1002_8.png,LTD
/content/cropped/Train/img1002_9.png,BUILDERS
/content/cropped/Train/img1002_11.png,0883983606
/content/cropped/Train/img1003_0.png,FUEL
/content/cropped/Train/img1003_1.png,Peters
/content/cropped/Train/img1003_3.png,SPECIALS
/content/cropped/Train/img1003_4.png,SWAPnGO
/content/cropped/Train/img1003_5.png,ILK
/content/cropped/Train/img1004_0.png,FRESH
/content/cropped/Train/img1004_1.png,produce
/content/cropped/Train/img1004_2.png,our
/content/cropped/Train/img1004_3.png,own
/content/cropped/Train/img1004_5.png,MAX
/content/cropped/Train/img1004_6.png,NOSKE
/content/cropped/Train/img1004_8.png,SON
/content/cropped/Train/img1004_9.png,COUNTRY
/content/cropped/Train/img1004_10.png,MEAT
/content/cropped/Train/img1004_11.png,We
/content/cropped/Train/img1005_0.png,WIDE
/content/cropped/Train/img1005_1.png,OUR
/content/cropped/Train/img1005_2.png,SELECTION
/content/cropped/Train/img1005_3.png,BROWSE
/content/cropped/Train/img1005_4.png,COME
/content/cropped/Train/img1005_5.png,OF
/content/cropped/Train/img1005_6.png,AND
/content/cropped/Train/img1005_7.png,IN
/content/cropped/Train/img1005_9.png,HAHNDORF
/content/cropped/Train/img1005_10.png,NEWSAGENCY
/content/cropped/Train/img1005_11.png,GIFTS
/content/cropped/Train/img1006_0.png,HOME
/content/cropped/Train/img1006_1.png,FUDGE
/content/cropped/Train/img1006_2.png,HAHNDORE
/content/cropped/Train/img1006_3.png,ORIGINAL
/content/cropped/Train/img1006_4.png,HAHNDOFR
/content/cropped/Train/img1006_5.png,THE
/content/cropped/Train/img1006_6.png,HAHNDOFR
/content/cropped/Train/img1006_7.png,OF
/content/cropped/Train/img1006_8.png,HUMBUGS
/content/cropped/Train/img1006_9.png,HUMBUGS
/content/cropped/Train/img1007_0.png,OSCARS
/content/cropped/Train/img1007_1.png,HAHNDORF
/content/cropped/Train/img1007_2.png,OF
/content/cropped/Train/img1007_3.png,LIGHTING
/content/cropped/Train/img1007_4.png,HANDBAGS
/content/cropped/Train/img1007_5.png,SHOES
/content/cropped/Train/img1007_6.png,CLOTHING
/content/cropped/Train/img1007_7.png,JEWELLERY
/content/cropped/Train/img1007_8.png,GIFTWARE
/content/cropped/Train/img1007_9.png,HOME
/content/cropped/Train/img1007_10.png,DECOR
/content/cropped/Train/img1007_11.png,FURNITURE
/content/cropped/Train/img1008_0.png,CONNOISSENR
/content/cropped/Train/img1008_1.png,CONFECTIONERY
/content/cropped/Train/img1009_0.png,PARKING
/content/cropped/Train/img1009_1.png,REAR
/content/cropped/Train/img1009_2.png,P
/content/cropped/Train/img1009_3.png,HAHNDOPS
/content/cropped/Train/img1009_4.png,AT
/content/cropped/Train/img1009_5.png,2015
/content/cropped/Train/img1009_6.png,EST
/content/cropped/Train/img1009_7.png,AUTHENTIC
/content/cropped/Train/img1009_8.png,ITALIAN
/content/cropped/Train/img1009_9.png,CUISINE
/content/cropped/Train/img1009_10.png,BREAKFAST
/content/cropped/Train/img1009_11.png,LUNCH
/content/cropped/Train/img1009_12.png,DINNER
/content/cropped/Train/img1009_13.png,gepettos
/content/cropped/Train/img101_0.png,AVILON
/content/cropped/Train/img101_1.png,Celebrating
/content/cropped/Train/img101_2.png,Life
/content/cropped/Train/img1010_0.png,HAHNDORF
/content/cropped/Train/img1010_1.png,EST
/content/cropped/Train/img1010_2.png,2015
/content/cropped/Train/img1010_3.png,AUTHENTIC
/content/cropped/Train/img1010_4.png,ITALIAN
/content/cropped/Train/img1010_5.png,CUISINE
/content/cropped/Train/img1010_6.png,gepettos
/content/cropped/Train/img1010_7.png,BREAKFAST
/content/cropped/Train/img1010_8.png,LUNCH
/content/cropped/Train/img1010_9.png,DINNER
/content/cropped/Train/img1011_0.png,Hotel
/content/cropped/Train/img1011_1.png,German
/content/cropped/Train/img1011_2.png,Old
/content/cropped/Train/img1011_3.png,COMING
/content/cropped/Train/img1011_4.png,EVENTS
/content/cropped/Train/img1011_5.png,hotbrauhaus
/content/cropped/Train/img1011_6.png,The
/content/cropped/Train/img1011_7.png,Experience
/content/cropped/Train/img1011_8.png,at
